directed_edge_id,from_id,to_id,distance,slope_type,base_cost,weather,cargo,weather_factor,cargo_factor,context_cost,source_edge_id
DE001,20,1,425,slight_up,0.821,sunny,small,1,1,0.821,E001
DE002,1,20,425,slight_down,0.582,sunny,small,1,1,0.582,E001
DE003,21,20,424,slight_up,0.82,sunny,small,1,1,0.82,E002
DE004,20,21,424,slight_down,0.581,sunny,small,1,1,0.581,E002
DE005,20,22,390,flat,0.628,sunny,small,1,1,0.628,E003
DE006,22,20,390,flat,0.628,sunny,small,1,1,0.628,E003
DE007,7,21,692,flat,1.115,sunny,small,1,1,1.115,E004
DE008,21,7,692,flat,1.115,sunny,small,1,1,1.115,E004
DE009,1,2,94,slight_up,0.182,sunny,small,1,1,0.182,E005
DE010,2,1,94,slight_down,0.129,sunny,small,1,1,0.129,E005
DE011,2,23,204,slight_up,0.394,sunny,small,1,1,0.394,E006
DE012,23,2,204,slight_down,0.279,sunny,small,1,1,0.279,E006
DE013,5,22,66,flat,0.106,sunny,small,1,1,0.106,E007
DE014,22,5,66,flat,0.106,sunny,small,1,1,0.106,E007
DE015,6,22,136,flat,0.219,sunny,small,1,1,0.219,E008
DE016,22,6,136,flat,0.219,sunny,small,1,1,0.219,E008
DE017,4,23,41,slight_up,0.079,sunny,small,1,1,0.079,E009
DE018,23,4,41,slight_down,0.056,sunny,small,1,1,0.056,E009
DE019,23,24,21,slight_up,0.041,sunny,small,1,1,0.041,E010
DE020,24,23,21,slight_down,0.029,sunny,small,1,1,0.029,E010
DE021,25,4,22,slight_up,0.043,sunny,small,1,1,0.043,E011
DE022,4,25,22,slight_down,0.03,sunny,small,1,1,0.03,E011
DE023,25,26,168,flat,0.271,sunny,small,1,1,0.271,E012
DE024,26,25,168,flat,0.271,sunny,small,1,1,0.271,E012
DE025,24,3,106,steep_up,0.256,sunny,small,1,1,0.256,E013
DE026,3,24,106,steep_down,0.128,sunny,small,1,1,0.128,E013
DE027,24,27,308,slight_up,0.595,sunny,small,1,1,0.595,E014
DE028,27,24,308,slight_down,0.422,sunny,small,1,1,0.422,E014
DE029,6,26,170,flat,0.274,sunny,small,1,1,0.274,E015
DE030,26,6,170,flat,0.274,sunny,small,1,1,0.274,E015
DE031,26,28,160,slight_up,0.309,sunny,small,1,1,0.309,E016
DE032,28,26,160,slight_down,0.219,sunny,small,1,1,0.219,E016
DE033,6,29,135,flat,0.217,sunny,small,1,1,0.217,E017
DE034,29,6,135,flat,0.217,sunny,small,1,1,0.217,E017
DE035,28,27,239,slight_up,0.462,sunny,small,1,1,0.462,E018
DE036,27,28,239,slight_down,0.327,sunny,small,1,1,0.327,E018
DE037,27,30,94,slight_up,0.182,sunny,small,1,1,0.182,E019
DE038,30,27,94,slight_down,0.129,sunny,small,1,1,0.129,E019
DE039,29,28,257,slight_up,0.497,sunny,small,1,1,0.497,E020
DE040,28,29,257,slight_down,0.352,sunny,small,1,1,0.352,E020
DE041,9,28,255,flat,0.411,sunny,small,1,1,0.411,E021
DE042,28,9,255,flat,0.411,sunny,small,1,1,0.411,E021
DE043,7,29,332,slight_up,0.642,sunny,small,1,1,0.642,E022
DE044,29,7,332,slight_down,0.455,sunny,small,1,1,0.455,E022
DE045,29,31,290,flat,0.467,sunny,small,1,1,0.467,E023
DE046,31,29,290,flat,0.467,sunny,small,1,1,0.467,E023
DE047,7,32,257,flat,0.414,sunny,small,1,1,0.414,E024
DE048,32,7,257,flat,0.414,sunny,small,1,1,0.414,E024
DE049,8,33,701,slight_up,1.355,sunny,small,1,1,1.355,E025
DE050,33,8,701,slight_down,0.96,sunny,small,1,1,0.96,E025
DE051,34,8,47,steep_up,0.114,sunny,small,1,1,0.114,E026
DE052,8,34,47,steep_down,0.057,sunny,small,1,1,0.057,E026
DE053,30,34,66,steep_up,0.159,sunny,small,1,1,0.159,E027
DE054,34,30,66,steep_down,0.08,sunny,small,1,1,0.08,E027
DE055,30,35,196,slight_up,0.379,sunny,small,1,1,0.379,E028
