from_id,to_id,cost
1,1,0
1,2,0.182
1,3,0.873
1,4,0.632
1,5,0.97
1,6,1.207
1,7,1.879
1,8,1.667
1,9,1.653
1,10,2.265
1,11,3.23
1,12,2.661
1,13,3.164
1,14,2.727
1,15,3.017
1,16,3.631
1,17,3.699
1,18,3.965
1,19,4.336
1,20,0.582
1,21,1.163
1,22,1.076
1,23,0.576
1,24,0.617
1,25,0.662
1,26,0.933
1,27,1.212
1,28,1.242
1,29,1.424
1,30,1.394
1,31,1.891
1,32,2.293
1,33,3.022
1,34,1.553
1,35,1.773
1,36,2.644
1,37,1.954
1,38,2.832
1,39,3.013
1,40,2.831
1,41,3.51
1,42,2.955
1,43,3.22
1,44,2.795
1,45,2.924
1,46,2.936
1,47,3.144
1,48,3.332
1,49,3.521
1,50,3.027
1,51,3.125
1,52,3.092
1,53,3.34
1,54,3.222
1,55,3.346
1,56,4.023
1,57,4.207
1,58,4.216
1,59,4.314
2,1,0.129
2,2,0
2,3,0.691
2,4,0.45
2,5,0.788
2,6,1.025
2,7,1.697
2,8,1.485
2,9,1.471
2,10,2.083
2,11,3.048
2,12,2.479
2,13,2.982
2,14,2.545
2,15,2.835
2,16,3.449
2,17,3.517
2,18,3.783
2,19,4.154
2,20,0.711
2,21,1.292
2,22,0.894
2,23,0.394
2,24,0.435
2,25,0.48
2,26,0.751
2,27,1.03
2,28,1.06
2,29,1.242
2,30,1.212
2,31,1.709
2,32,2.111
2,33,2.84
2,34,1.371
2,35,1.591
2,36,2.462
2,37,1.772
2,38,2.65
2,39,2.831
2,40,2.649
2,41,3.328
2,42,2.773
2,43,3.038
2,44,2.613
2,45,2.742
2,46,2.754
2,47,2.962
2,48,3.15
2,49,3.339
2,50,2.845
2,51,2.943
2,52,2.91
2,53,3.158
2,54,3.04
2,55,3.164
2,56,3.841
2,57,4.025
2,58,4.034
2,59,4.132
3,1,0.565
3,2,0.436
3,3,0
3,4,0.213
3,5,0.551
3,6,0.788
3,7,1.46
3,8,1.178
3,9,1.234
3,10,1.846
3,11,2.741
3,12,2.242
3,13,2.745
3,14,2.238
3,15,2.598
3,16,3.142
3,17,3.21
3,18,3.546
3,19,3.847
3,20,1.147
3,21,1.728
3,22,0.657
3,23,0.157
3,24,0.128
3,25,0.243
3,26,0.514
3,27,0.723
3,28,0.823
3,29,1.005
3,30,0.905
3,31,1.472
3,32,1.874
3,33,2.533
3,34,1.064
3,35,1.284
3,36,2.155
3,37,1.535
3,38,2.413
3,39,2.524
3,40,2.412
3,41,3.021
3,42,2.536
3,43,2.801
3,44,2.306
3,45,2.435
3,46,2.517
3,47,2.725
3,48,2.913
3,49,3.102
3,50,2.538
3,51,2.636
3,52,2.673
3,53,2.921
3,54,2.733
3,55,2.857
3,56,3.604
3,57,3.788
3,58,3.727
3,59,3.825
4,1,0.487
4,2,0.358
4,3,0.376
4,4,0
4,5,0.338
4,6,0.575
4,7,1.247
4,8,1.17
4,9,1.021
4,10,1.633
4,11,2.733
4,12,2.029
4,13,2.532
4,14,2.23
4,15,2.385
4,16,3.134
4,17,3.202
4,18,3.333
4,19,3.839
4,20,1.069
4,21,1.65
4,22,0.444
4,23,0.079
4,24,0.12
4,25,0.03
4,26,0.301
4,27,0.715
4,28,0.61
4,29,0.792
4,30,0.897
4,31,1.259
4,32,1.661
4,33,2.525
4,34,1.056
4,35,1.276
4,36,2.147
4,37,1.322
4,38,2.2
4,39,2.516
4,40,2.199
4,41,3.013
4,42,2.323
4,43,2.588
4,44,2.298
4,45,2.427
4,46,2.304
4,47,2.512
4,48,2.7
4,49,2.889
4,50,2.53
4,51,2.628
4,52,2.46
4,53,2.708
4,54,2.725
4,55,2.849
4,56,3.391
4,57,3.575
4,58,3.719
4,59,3.817
5,1,0.838
5,2,0.709
5,3,0.727
5,4,0.351
5,5,0
5,6,0.325
5,7,0.997
5,8,1.521
5,9,1.299
5,10,1.383
5,11,3.084
5,12,1.779
5,13,2.282
5,14,2.574
5,15,2.595
5,16,3.478
5,17,3.546
5,18,3.083
5,19,4.099
5,20,0.734
5,21,1.315
5,22,0.106
5,23,0.43
5,24,0.471
5,25,0.308
5,26,0.579
5,27,1.066
5,28,0.888
5,29,0.542
5,30,1.248
5,31,1.009
5,32,1.411
5,33,2.876
5,34,1.407
5,35,1.62
5,36,2.491
5,37,1.072
5,38,2.478
5,39,2.86
5,40,1.949
5,41,3.357
5,42,2.073
5,43,2.338
5,44,2.642
5,45,2.771
5,46,2.514
5,47,2.262
5,48,2.45
5,49,2.639
5,50,2.874
5,51,2.972
5,52,2.67
5,53,2.647
5,54,3.069
5,55,3.193
5,56,3.182
5,57,3.325
5,58,3.979
5,59,4.161
6,1,1.075
6,2,0.946
6,3,0.964
6,4,0.588
6,5,0.325
6,6,0
6,7,0.672
6,8,1.5
6,9,0.994
6,10,1.058
6,11,2.864
6,12,1.454
6,13,1.957
6,14,2.269
6,15,2.27
6,16,3.173
6,17,3.241
6,18,2.758
6,19,3.774
6,20,0.847
6,21,1.428
6,22,0.219
6,23,0.667
6,24,0.708
6,25,0.545
6,26,0.274
6,27,1.045
6,28,0.583
6,29,0.217
6,30,1.227
6,31,0.684
6,32,1.086
6,33,2.656
6,34,1.386
6,35,1.315
6,36,2.186
6,37,0.747
6,38,2.173
6,39,2.555
6,40,1.624
6,41,3.052
6,42,1.748
6,43,2.013
6,44,2.337
6,45,2.466
6,46,2.189
6,47,1.937
6,48,2.125
6,49,2.314
6,50,2.569
6,51,2.667
6,52,2.345
6,53,2.322
6,54,2.764
6,55,2.888
6,56,2.857
6,57,3
6,58,3.654
6,59,3.856
7,1,1.934
7,2,1.805
7,3,1.823
7,4,1.447
7,5,1.184
7,6,0.859
7,7,0
7,8,2.056
7,9,1.467
7,10,1.456
7,11,3.337
7,12,1.852
7,13,1.285
7,14,2.742
7,15,2.441
7,16,3.646
7,17,3.714
7,18,2.929
7,19,3.945
7,20,1.706
7,21,1.115
7,22,1.078
7,23,1.526
7,24,1.567
7,25,1.404
7,26,1.133
7,27,1.601
7,28,1.139
7,29,0.642
7,30,1.783
7,31,1.109
7,32,0.414
7,33,3.129
7,34,1.942
7,35,1.788
7,36,2.659
7,37,1.145
7,38,2.507
7,39,3.028
7,40,1.795
7,41,3.525
7,42,1.919
7,43,1.341
7,44,2.754
7,45,2.694
7,46,2.36
7,47,1.805
7,48,2.296
7,49,2.182
7,50,3.042
7,51,2.895
7,52,2.516
7,53,2.493
7,54,2.992
7,55,3.116
7,56,3.028
7,57,2.868
7,58,3.825
7,59,4.329
8,1,1.125
8,2,0.996
8,3,0.944
8,4,0.773
8,5,1.111
8,6,1.086
8,7,1.4
8,8,0
8,9,0.743
8,10,1.37
8,11,1.563
8,12,1.766
8,13,2.297
8,14,1.47
8,15,1.846
8,16,2.22
8,17,2.288
8,18,2.922
8,19,3.079
8,20,1.707
8,21,2.288
8,22,1.217
8,23,0.717
8,24,0.688
8,25,0.803
8,26,0.812
8,27,0.266
8,28,0.593
8,29,0.945
8,30,0.137
8,31,0.996
8,32,1.577
8,33,1.355
8,34,0.057
8,35,0.516
8,36,1.387
8,37,1.059
8,38,1.713
8,39,1.406
8,40,1.936
8,41,2.099
8,42,2.06
8,43,2.353
8,44,1.538
8,45,1.667
8,46,1.817
8,47,2.249
8,48,2.309
8,49,2.498
8,50,1.77
8,51,1.868
8,52,1.921
8,53,2.169
8,54,1.965
8,55,2.089
8,56,2.852
8,57,3.184
8,58,2.959
8,59,2.903
9,1,1.431
9,2,1.302
9,3,1.32
9,4,0.944
9,5,1.209
9,6,0.904
9,7,1.175
9,8,0.862
9,9,0
9,10,0.627
9,11,1.87
9,12,1.023
9,13,1.554
9,14,1.275
9,15,1.364
9,16,2.179
9,17,2.247
9,18,2.327
9,19,2.884
9,20,1.751
9,21,2.29
9,22,1.123
9,23,1.023
9,24,1.064
9,25,0.901
9,26,0.63
9,27,0.718
9,28,0.411
9,29,0.72
9,30,0.589
9,31,0.253
9,32,0.834
9,33,1.662
9,34,0.748
9,35,0.321
9,36,1.192
9,37,0.316
9,38,1.179
9,39,1.561
9,40,1.193
9,41,2.058
9,42,1.317
9,43,1.61
9,44,1.343
9,45,1.472
9,46,1.283
9,47,1.506
9,48,1.694
9,49,1.883
9,50,1.575
9,51,1.673
9,52,1.439
9,53,1.687
9,54,1.77
9,55,1.894
9,56,2.37
9,57,2.569
9,58,2.764
9,59,2.862
10,1,2.068
10,2,1.939
10,3,1.957
10,4,1.581
10,5,1.318
10,6,0.993
10,7,1.152
10,8,1.529
10,9,0.667
10,10,0
10,11,2.416
10,12,0.396
10,13,0.927
10,14,1.821
10,15,1.212
10,16,2.664
10,17,2.732
10,18,1.7
10,19,2.716
10,20,1.84
10,21,2.267
10,22,1.212
10,23,1.66
10,24,1.701
10,25,1.538
10,26,1.267
10,27,1.385
10,28,1.078
10,29,0.776
10,30,1.256
10,31,0.309
10,32,0.738
10,33,2.208
10,34,1.415
10,35,0.988
10,36,1.738
10,37,0.22
10,38,1.278
10,39,2.107
10,40,0.566
10,41,2.543
10,42,0.69
10,43,0.983
10,44,1.525
10,45,1.465
10,46,1.131
10,47,0.879
10,48,1.067
10,49,1.256
10,50,2.06
10,51,1.666
10,52,1.287
10,53,1.264
10,54,1.763
10,55,1.887
10,56,1.799
10,57,1.942
10,58,2.596
10,59,3.347
11,1,2.189
11,2,2.06
11,3,2.008
11,4,1.837
11,5,2.175
11,6,2.15
11,7,2.464
11,8,1.064
11,9,1.578
11,10,1.648
11,11,0
11,12,1.367
11,13,1.608
11,14,0.358
11,15,0.876
11,16,0.657
11,17,0.725
11,18,1.952
11,19,1.875
11,20,2.771
11,21,3.352
11,22,2.281
11,23,1.781
11,24,1.752
11,25,1.867
11,26,1.876
11,27,1.33
11,28,1.657
11,29,2.009
11,30,1.201
11,31,1.831
11,32,2.386
11,33,0.104
11,34,1.121
11,35,1.58
11,36,0.417
11,37,1.868
11,38,0.743
11,39,0.155
11,40,1.247
11,41,0.536
11,42,1.159
11,43,1.664
11,44,0.568
11,45,0.697
11,46,0.847
11,47,1.348
11,48,1.339
11,49,1.528
11,50,0.658
11,51,0.898
11,52,0.951
11,53,1.199
11,54,0.995
11,55,1.119
11,56,1.882
11,57,2.214
11,58,1.989
11,59,1.34
12,1,2.349
12,2,2.22
12,3,2.238
12,4,1.862
12,5,1.599
12,6,1.274
12,7,1.433
12,8,1.81
12,9,0.948
12,10,0.281
12,11,2.02
12,12,0
12,13,0.531
12,14,1.425
12,15,0.816
12,16,2.268
12,17,2.336
12,18,1.304
12,19,2.32
12,20,2.121
12,21,2.548
12,22,1.493
12,23,1.941
12,24,1.982
12,25,1.819
12,26,1.548
12,27,1.666
12,28,1.359
12,29,1.057
12,30,1.537
12,31,0.59
12,32,1.019
12,33,1.812
12,34,1.696
12,35,1.269
12,36,1.342
12,37,0.501
12,38,0.882
12,39,1.711
12,40,0.17
12,41,2.147
12,42,0.294
12,43,0.587
12,44,1.129
12,45,1.069
12,46,0.735
12,47,0.483
12,48,0.671
12,49,0.86
12,50,1.664
12,51,1.27
12,52,0.891
12,53,0.868
12,54,1.367
12,55,1.491
12,56,1.403
12,57,1.546
12,58,2.2
12,59,2.951
13,1,2.979
13,2,2.85
13,3,2.868
13,4,2.492
13,5,2.229
13,6,1.904
13,7,1.285
13,8,2.44
13,9,1.578
13,10,0.911
13,11,2.36
13,12,0.63
13,13,0
13,14,1.765
13,15,1.156
13,16,2.608
13,17,2.676
13,18,1.644
13,19,2.66
13,20,2.751
13,21,2.4
13,22,2.123
13,23,2.571
13,24,2.612
13,25,2.449
13,26,2.178
13,27,2.296
13,28,1.989
13,29,1.687
13,30,2.167
13,31,1.22
13,32,0.871
13,33,2.152
13,34,2.326
13,35,1.899
13,36,1.682
13,37,1.131
13,38,1.222
13,39,2.051
13,40,0.51
13,41,2.487
13,42,0.634
13,43,0.056
13,44,1.469
13,45,1.409
13,46,1.075
13,47,0.52
13,48,1.011
13,49,0.897
13,50,2.004
13,51,1.61
13,52,1.231
13,53,1.208
13,54,1.707
13,55,1.831
13,56,1.743
13,57,1.583
13,58,2.54
13,59,3.291
14,1,2.472
14,2,2.343
14,3,2.291
14,4,2.12
14,5,2.429
14,6,2.124
14,7,2.395
14,8,1.347
14,9,1.22
14,10,1.29
14,11,0.595
14,12,1.009
14,13,1.25
14,14,0
14,15,0.518
14,16,0.904
14,17,0.972
14,18,1.594
14,19,1.751
14,20,2.971
14,21,3.51
14,22,2.343
14,23,2.064
14,24,2.035
14,25,2.121
14,26,1.85
14,27,1.613
14,28,1.631
14,29,1.94
14,30,1.484
14,31,1.473
14,32,2.028
14,33,0.387
14,34,1.404
14,35,1.288
14,36,0.059
14,37,1.51
14,38,0.385
14,39,0.286
14,40,0.889
14,41,0.783
14,42,0.801
14,43,1.306
14,44,0.21
14,45,0.339
14,46,0.489
14,47,0.99
14,48,0.981
14,49,1.17
14,50,0.3
14,51,0.54
14,52,0.593
14,53,0.841
14,54,0.637
14,55,0.761
14,56,1.524
14,57,1.856
14,58,1.631
14,59,1.587
15,1,2.494
15,2,2.365
15,3,2.383
15,4,2.007
15,5,2.2
15,6,1.875
15,7,2.034
15,8,1.925
15,9,1.063
15,10,0.882
15,11,1.273
15,12,0.601
15,13,0.842
15,14,0.678
15,15,0
15,16,1.452
15,17,1.52
15,18,1.076
15,19,1.665
15,20,2.722
15,21,3.149
15,22,2.094
15,23,2.086
15,24,2.127
15,25,1.964
15,26,1.693
15,27,1.781
15,28,1.474
15,29,1.658
15,30,1.652
15,31,1.191
15,32,1.62
15,33,1.065
15,34,1.811
15,35,1.384
15,36,0.595
15,37,1.102
15,38,0.228
15,39,0.964
15,40,0.481
15,41,1.331
