directed_edge_id,from_id,to_id,distance,distance_m,slope_type,factor,time_min,cost,source_edge_id
DE001,20,1,425,285.235,slight_up,1.20,0.685,0.821,E001
DE002,1,20,425,285.235,slight_down,0.85,0.685,0.582,E001
DE003,21,20,424,284.564,slight_up,1.20,0.683,0.82,E002
DE004,20,21,424,284.564,slight_down,0.85,0.683,0.581,E002
DE005,20,22,390,261.745,flat,1.00,0.628,0.628,E003
DE006,22,20,390,261.745,flat,1.00,0.628,0.628,E003
DE007,7,21,692,464.43,flat,1.00,1.115,1.115,E004
DE008,21,7,692,464.43,flat,1.00,1.115,1.115,E004
DE009,1,2,94,63.087,slight_up,1.20,0.151,0.182,E005
DE010,2,1,94,63.087,slight_down,0.85,0.151,0.129,E005
DE011,2,23,204,136.913,slight_up,1.20,0.329,0.394,E006
DE012,23,2,204,136.913,slight_down,0.85,0.329,0.279,E006
DE013,5,22,66,44.295,flat,1.00,0.106,0.106,E007
DE014,22,5,66,44.295,flat,1.00,0.106,0.106,E007
DE015,6,22,136,91.275,flat,1.00,0.219,0.219,E008
DE016,22,6,136,91.275,flat,1.00,0.219,0.219,E008
DE017,4,23,41,27.517,slight_up,1.20,0.066,0.079,E009
DE018,23,4,41,27.517,slight_down,0.85,0.066,0.056,E009
DE019,23,24,21,14.094,slight_up,1.20,0.034,0.041,E010
DE020,24,23,21,14.094,slight_down,0.85,0.034,0.029,E010
DE021,25,4,22,14.765,slight_up,1.20,0.035,0.043,E011
DE022,4,25,22,14.765,slight_down,0.85,0.035,0.03,E011
DE023,25,26,168,112.752,flat,1.00,0.271,0.271,E012
DE024,26,25,168,112.752,flat,1.00,0.271,0.271,E012
DE025,24,3,106,71.141,steep_up,1.50,0.171,0.256,E013
DE026,3,24,106,71.141,steep_down,0.75,0.171,0.128,E013
DE027,24,27,308,206.711,slight_up,1.20,0.496,0.595,E014
DE028,27,24,308,206.711,slight_down,0.85,0.496,0.422,E014
DE029,6,26,170,114.094,flat,1.00,0.274,0.274,E015
DE030,26,6,170,114.094,flat,1.00,0.274,0.274,E015
DE031,26,28,160,107.383,slight_up,1.20,0.258,0.309,E016
DE032,28,26,160,107.383,slight_down,0.85,0.258,0.219,E016
DE033,6,29,135,90.604,flat,1.00,0.217,0.217,E017
DE034,29,6,135,90.604,flat,1.00,0.217,0.217,E017
DE035,28,27,239,160.403,slight_up,1.20,0.385,0.462,E018
DE036,27,28,239,160.403,slight_down,0.85,0.385,0.327,E018
DE037,27,30,94,63.087,slight_up,1.20,0.151,0.182,E019
DE038,30,27,94,63.087,slight_down,0.85,0.151,0.129,E019
DE039,29,28,257,172.483,slight_up,1.20,0.414,0.497,E020
DE040,28,29,257,172.483,slight_down,0.85,0.414,0.352,E020
DE041,9,28,255,171.141,flat,1.00,0.411,0.411,E021
DE042,28,9,255,171.141,flat,1.00,0.411,0.411,E021
DE043,7,29,332,222.819,slight_up,1.20,0.535,0.642,E022
DE044,29,7,332,222.819,slight_down,0.85,0.535,0.455,E022
DE045,29,31,290,194.631,flat,1.00,0.467,0.467,E023
DE046,31,29,290,194.631,flat,1.00,0.467,0.467,E023
DE047,7,32,257,172.483,flat,1.00,0.414,0.414,E024
DE048,32,7,257,172.483,flat,1.00,0.414,0.414,E024
DE049,8,33,701,470.47,slight_up,1.20,1.129,1.355,E025
DE050,33,8,701,470.47,slight_down,0.85,1.129,0.96,E025
DE051,34,8,47,31.544,steep_up,1.50,0.076,0.114,E026
DE052,8,34,47,31.544,steep_down,0.75,0.076,0.057,E026
DE053,30,34,66,44.295,steep_up,1.50,0.106,0.159,E027
DE054,34,30,66,44.295,steep_down,0.75,0.106,0.08,E027
DE055,30,35,196,131.544,slight_up,1.20,0.316,0.379,E028
DE056,35,30,196,131.544,slight_down,0.85,0.316,0.268,E028
DE057,9,35,166,111.409,slight_up,1.20,0.267,0.321,E029
DE058,35,9,166,111.409,slight_down,0.85,0.267,0.227,E029
DE059,36,35,636,426.846,slight_up,1.20,1.024,1.229,E030
DE060,35,36,636,426.846,slight_down,0.85,1.024,0.871,E030
DE061,31,9,185,124.161,slight_up,1.20,0.298,0.358,E031
DE062,9,31,185,124.161,slight_down,0.85,0.298,0.253,E031
DE063,37,31,46,30.872,slight_up,1.20,0.074,0.089,E032
DE064,31,37,46,30.872,slight_down,0.85,0.074,0.063,E032
DE065,32,37,378,253.691,slight_up,1.20,0.609,0.731,E033
DE066,37,32,378,253.691,slight_down,0.85,0.609,0.518,E033
DE067,37,10,161,108.054,slight_up,1.20,0.259,0.311,E034
DE068,10,37,161,108.054,slight_down,0.85,0.259,0.22,E034
DE069,13,32,541,363.087,flat,1.00,0.871,0.871,E035
DE070,32,13,541,363.087,flat,1.00,0.871,0.871,E035
DE071,9,38,610,409.396,slight_up,1.20,0.983,1.179,E036
DE072,38,9,610,409.396,slight_down,0.85,0.983,0.835,E036
DE073,10,12,205,137.584,slight_up,1.20,0.33,0.396,E037
DE074,12,10,205,137.584,slight_down,0.85,0.33,0.281,E037
DE075,33,11,86,57.718,steep_up,1.50,0.139,0.208,E038
DE076,11,33,86,57.718,steep_down,0.75,0.139,0.104,E038
DE077,39,33,42,28.188,steep_up,1.50,0.068,0.101,E039
DE078,33,39,42,28.188,steep_down,0.75,0.068,0.051,E039
DE079,14,39,148,99.329,slight_up,1.20,0.238,0.286,E040
DE080,39,14,148,99.329,slight_down,0.85,0.238,0.203,E040
DE081,12,40,88,59.06,slight_up,1.20,0.142,0.17,E041
DE082,40,12,88,59.06,slight_down,0.85,0.142,0.12,E041
DE083,11,41,333,223.49,flat,1.00,0.536,0.536,E042
DE084,41,11,333,223.49,flat,1.00,0.536,0.536,E042
DE085,13,40,264,177.181,slight_up,1.20,0.425,0.51,E043
DE086,40,13,264,177.181,slight_down,0.85,0.425,0.361,E043
DE087,40,42,64,42.953,slight_up,1.20,0.103,0.124,E044
DE088,42,40,64,42.953,slight_down,0.85,0.103,0.088,E044
DE089,13,43,35,23.49,flat,1.00,0.056,0.056,E045
DE090,43,13,35,23.49,flat,1.00,0.056,0.056,E045
DE091,36,14,43,28.859,slight_up,1.20,0.069,0.083,E046
DE092,14,36,43,28.859,slight_down,0.85,0.069,0.059,E046
DE093,44,36,110,73.826,slight_up,1.20,0.177,0.213,E047
DE094,36,44,110,73.826,slight_down,0.85,0.177,0.151,E047
DE095,38,44,128,85.906,slight_up,1.20,0.206,0.247,E048
DE096,44,38,128,85.906,slight_down,0.85,0.206,0.175,E048
DE097,44,45,80,53.691,flat,1.00,0.129,0.129,E049
DE098,45,44,80,53.691,flat,1.00,0.129,0.129,E049
DE099,46,38,76,51.007,slight_up,1.20,0.122,0.147,E050
DE100,38,46,76,51.007,slight_down,0.85,0.122,0.104,E050
DE101,42,46,228,153.02,slight_up,1.20,0.367,0.441,E051
DE102,46,42,228,153.02,slight_down,0.85,0.367,0.312,E051
DE103,15,46,50,33.557,flat,1.00,0.081,0.081,E052
