edge_id,from_id,to_id,distance,slope_type,comment
E001,20,1,425,slight_up,"pixel segment (611,40)-(1036,40); orient=h"
E002,21,20,424,slight_up,"pixel segment (1036,40)-(1460,40); orient=h"
E003,20,22,390,flat,"pixel segment (1036,40)-(1036,430); orient=v"
E004,7,21,692,flat,"pixel segment (1460,40)-(1460,732); orient=v"
E005,1,2,94,slight_up,"pixel segment (540,73)-(540,167); orient=v"
E006,2,23,204,slight_up,"pixel segment (540,227)-(540,431); orient=v"
E007,5,22,66,flat,"pixel segment (970,430)-(1036,430); orient=h"
E008,6,22,136,flat,"pixel segment (1036,430)-(1036,566); orient=v"
E009,4,23,41,slight_up,"pixel segment (581,431)-(540,431); orient=h"
E010,23,24,21,slight_up,"pixel segment (540,431)-(540,452); orient=v; manually confirmed slight_up"
E011,25,4,22,slight_up,"pixel segment (779,432)-(757,432); orient=h"
E012,25,26,168,flat,"pixel segment (779,432)-(779,600); orient=v"
E013,24,3,106,steep_up,"pixel segment (434,452)-(540,452); orient=h"
E014,24,27,308,slight_up,"pixel segment (540,452)-(540,760); orient=v"
E015,6,26,170,flat,"pixel segment (779,600)-(949,600); orient=h"
E016,26,28,160,slight_up,"pixel segment (779,600)-(779,760); orient=v"
E017,6,29,135,flat,"pixel segment (1036,625)-(1036,760); orient=v"
E018,28,27,239,slight_up,"pixel segment (540,760)-(779,760); orient=h"
E019,27,30,94,slight_up,"pixel segment (540,760)-(540,854); orient=v"
E020,29,28,257,slight_up,"pixel segment (779,760)-(1036,760); orient=h"
E021,9,28,255,flat,"pixel segment (779,760)-(779,1015); orient=v"
E022,7,29,332,slight_up,"pixel segment (1036,760)-(1368,760); orient=h"
E023,29,31,290,flat,"pixel segment (1036,760)-(1036,1050); orient=v"
E024,7,32,257,flat,"pixel segment (1460,793)-(1460,1050); orient=v"
E025,8,33,701,slight_up,"pixel segment (404,807)-(404,1508); orient=v"
E026,34,8,47,steep_up,"pixel segment (474,807)-(474,854); orient=v"
E027,30,34,66,steep_up,"pixel segment (474,854)-(540,854); orient=h"
E028,30,35,196,slight_up,"pixel segment (540,854)-(540,1050); orient=v"
E029,9,35,166,slight_up,"pixel segment (540,1050)-(706,1050); orient=h"
E030,36,35,636,slight_up,"pixel segment (540,1050)-(540,1686); orient=v"
E031,31,9,185,slight_up,"pixel segment (851,1050)-(1036,1050); orient=h"
E032,37,31,46,slight_up,"pixel segment (1036,1050)-(1082,1050); orient=h"
E033,32,37,378,slight_up,"pixel segment (1082,1050)-(1460,1050); orient=h"
E034,37,10,161,slight_up,"pixel segment (1082,1050)-(1082,1211); orient=v"
E035,13,32,541,flat,"pixel segment (1460,1050)-(1460,1591); orient=v"
E036,9,38,610,slight_up,"pixel segment (778,1076)-(778,1686); orient=v"
E037,10,12,205,slight_up,"pixel segment (1082,1271)-(1082,1476); orient=v"
E038,33,11,86,steep_up,"pixel segment (318,1508)-(404,1508); orient=h"
E039,39,33,42,steep_up,"pixel segment (404,1508)-(446,1508); orient=h"
E040,14,39,148,slight_up,"pixel segment (446,1508)-(446,1656); orient=v"
E041,12,40,88,slight_up,"pixel segment (1082,1534)-(1082,1622); orient=v"
E042,11,41,333,flat,"pixel segment (246,1537)-(246,1870); orient=v"
E043,13,40,264,slight_up,"pixel segment (1082,1622)-(1346,1622); orient=h"
