node_id,name,node_type,is_delivery,note
1,北门,gate,1,可作为起点或终点
2,菜鸟驿站,service,1,可作为起点或配送点
3,32舍,dormitory,1,候选配送点
4,校医院,building,1,候选配送点
5,四食堂,canteen,1,候选配送点
6,三食堂,canteen,1,候选配送点
7,新桥门,gate,1,可作为起点或终点
8,8舍,dormitory,1,候选配送点
9,永谦,building,1,候选配送点
10,田径场,building,0,地标节点
11,教七,delivery,1,候选配送点
12,教一,delivery,1,候选配送点
13,正门,gate,1,可作为起点或终点
14,图书馆,delivery,1,候选配送点
15,教四,delivery,1,候选配送点
16,信电楼,delivery,1,候选配送点
17,高分子楼,delivery,1,候选配送点
18,曹光彪,delivery,1,候选配送点
19,南门,gate,1,可作为起点或终点
20,交点20,intersection,0,"虚拟道路交点，像素坐标(1036,40)"
21,交点21,intersection,0,"虚拟道路交点，像素坐标(1460,40)"
22,交点22,intersection,0,"虚拟道路交点，像素坐标(1036,430)"
23,交点23,intersection,0,"虚拟道路交点，像素坐标(540,431)"
24,交点24,intersection,0,"虚拟道路交点，像素坐标(540,452)"
25,交点25,intersection,0,"虚拟道路交点，像素坐标(779,432)"
26,交点26,intersection,0,"虚拟道路交点，像素坐标(779,600)"
27,交点27,intersection,0,"虚拟道路交点，像素坐标(540,760)"
28,交点28,intersection,0,"虚拟道路交点，像素坐标(779,760)"
29,交点29,intersection,0,"虚拟道路交点，像素坐标(1036,760)"
30,交点30,intersection,0,"虚拟道路交点，像素坐标(540,854)"
31,交点31,intersection,0,"虚拟道路交点，像素坐标(1036,1050)"
32,交点32,intersection,0,"虚拟道路交点，像素坐标(1460,1050)"
33,交点33,intersection,0,"虚拟道路交点，像素坐标(404,1508)"
34,交点34,intersection,0,"虚拟道路交点，像素坐标(474,854)"
35,交点35,intersection,0,"虚拟道路交点，像素坐标(540,1050)"
36,交点36,intersection,0,"虚拟道路交点，像素坐标(540,1686)"
37,交点37,intersection,0,"虚拟道路交点，像素坐标(1082,1050)"
38,交点38,intersection,0,"虚拟道路交点，像素坐标(778,1686)"
39,交点39,intersection,0,"虚拟道路交点，像素坐标(446,1508)"
40,交点40,intersection,0,"虚拟道路交点，像素坐标(1082,1622)"
41,交点41,intersection,0,"虚拟道路交点，像素坐标(246,1870)"
42,交点42,intersection,0,"虚拟道路交点，像素坐标(1082,1686)"
43,交点43,intersection,0,"虚拟道路交点，像素坐标(1460,1686)"
44,交点44,intersection,0,"虚拟道路交点，像素坐标(650,1686)"
45,交点45,intersection,0,"虚拟道路交点，像素坐标(650,1766)"
46,交点46,intersection,0,"虚拟道路交点，像素坐标(854,1686)"
47,交点47,intersection,0,"虚拟道路交点，像素坐标(1220,1686)"
48,交点48,intersection,0,"虚拟道路交点，像素坐标(1082,1920)"
49,交点49,intersection,0,"虚拟道路交点，像素坐标(1220,1920)"
50,交点50,intersection,0,"虚拟道路交点，像素坐标(446,1870)"
51,交点51,intersection,0,"虚拟道路交点，像素坐标(650,1870)"
52,交点52,intersection,0,"虚拟道路交点，像素坐标(980,1766)"
53,交点53,intersection,0,"虚拟道路交点，像素坐标(980,1920)"
54,交点54,intersection,0,"虚拟道路交点，像素坐标(650,1920)"
55,交点55,intersection,0,"虚拟道路交点，像素坐标(650,1984)"
56,交点56,intersection,0,"虚拟道路交点，像素坐标(980,2344)"
57,交点57,intersection,0,"虚拟道路交点，像素坐标(1220,2346)"
58,交点58,intersection,0,"虚拟道路交点，像素坐标(650,2344)"
59,交点59,intersection,0,"虚拟道路交点，像素坐标(182,2462)"
