iteration,iteration_best_cost,best_cost
1,15.122000,15.122000
2,14.536000,14.536000
3,14.536000,14.536000
4,14.536000,14.536000
5,14.536000,14.536000
6,14.536000,14.536000
7,14.536000,14.536000
8,19.995000,14.536000
9,14.536000,14.536000
10,14.536000,14.536000
11,19.995000,14.536000
12,19.308000,14.536000
13,20.331000,14.536000
14,14.536000,14.536000
15,14.536000,14.536000
16,20.331000,14.536000
17,14.536000,14.536000
18,20.331000,14.536000
19,20.331000,14.536000
20,20.331000,14.536000
21,20.331000,14.536000
22,20.331000,14.536000
23,20.331000,14.536000
24,20.331000,14.536000
25,20.331000,14.536000
26,20.331000,14.536000
27,20.331000,14.536000
28,19.618000,14.536000
29,20.331000,14.536000
30,20.331000,14.536000
31,20.331000,14.536000
32,20.331000,14.536000
33,20.331000,14.536000
34,20.331000,14.536000
35,20.331000,14.536000
36,20.331000,14.536000
37,20.331000,14.536000
38,20.331000,14.536000
39,20.331000,14.536000
40,20.331000,14.536000
41,20.331000,14.536000
42,20.331000,14.536000
43,20.331000,14.536000
44,20.331000,14.536000
45,20.331000,14.536000
46,20.331000,14.536000
47,20.331000,14.536000
48,20.331000,14.536000
49,20.331000,14.536000
50,20.331000,14.536000
51,20.331000,14.536000
52,20.331000,14.536000
53,20.331000,14.536000
54,20.331000,14.536000
55,20.331000,14.536000
56,20.331000,14.536000
57,20.331000,14.536000
58,20.331000,14.536000
59,20.331000,14.536000
60,20.331000,14.536000
61,20.331000,14.536000
62,20.331000,14.536000
63,20.331000,14.536000
64,20.331000,14.536000
65,20.331000,14.536000
66,20.331000,14.536000
67,20.331000,14.536000
68,20.331000,14.536000
69,20.331000,14.536000
70,20.331000,14.536000
71,20.331000,14.536000
72,20.331000,14.536000
73,20.331000,14.536000
74,20.331000,14.536000
75,20.331000,14.536000
76,20.331000,14.536000
77,20.331000,14.536000
78,20.331000,14.536000
79,20.331000,14.536000
80,20.331000,14.536000
81,20.331000,14.536000
82,20.331000,14.536000
83,20.331000,14.536000
84,20.331000,14.536000
85,20.331000,14.536000
86,20.331000,14.536000
87,20.331000,14.536000
88,20.331000,14.536000
89,20.331000,14.536000
90,20.331000,14.536000
91,20.331000,14.536000
92,20.331000,14.536000
93,20.331000,14.536000
94,20.331000,14.536000
95,20.331000,14.536000
96,20.331000,14.536000
97,20.331000,14.536000
98,20.331000,14.536000
99,20.331000,14.536000
100,20.331000,14.536000
