iteration,current_cost,best_cost,temperature
1,26.141000,20.331000,10.000000
2,22.770000,20.331000,10.000000
3,24.463000,20.331000,10.000000
4,24.976000,20.331000,10.000000
5,22.770000,20.331000,10.000000
6,23.074000,20.331000,10.000000
7,22.376000,20.331000,10.000000
8,17.270000,17.270000,10.000000
9,26.682000,17.270000,10.000000
10,25.412000,17.270000,10.000000
11,19.916000,17.270000,10.000000
12,19.916000,17.270000,10.000000
13,20.273000,17.270000,10.000000
14,20.273000,17.270000,10.000000
15,23.180000,17.270000,10.000000
16,21.230000,17.270000,10.000000
17,23.180000,17.270000,10.000000
18,25.412000,17.270000,10.000000
19,27.018000,17.270000,10.000000
20,27.018000,17.270000,10.000000
21,24.595000,17.270000,10.000000
22,23.554000,17.270000,10.000000
23,22.599000,17.270000,10.000000
24,23.554000,17.270000,10.000000
25,22.207000,17.270000,10.000000
26,23.681000,17.270000,10.000000
27,22.207000,17.270000,10.000000
28,21.636000,17.270000,10.000000
29,21.568000,17.270000,10.000000
30,21.183000,17.270000,10.000000
31,21.262000,17.270000,10.000000
32,22.613000,17.270000,10.000000
33,21.262000,17.270000,10.000000
34,18.329000,17.270000,10.000000
35,23.128000,17.270000,10.000000
36,18.329000,17.270000,10.000000
37,23.128000,17.270000,10.000000
38,21.636000,17.270000,10.000000
39,22.139000,17.270000,10.000000
40,23.997000,17.270000,10.000000
41,25.020000,17.270000,10.000000
42,22.185000,17.270000,10.000000
43,22.185000,17.270000,10.000000
44,22.185000,17.270000,10.000000
45,23.342000,17.270000,10.000000
46,22.757000,17.270000,10.000000
47,25.757000,17.270000,10.000000
48,27.018000,17.270000,10.000000
49,27.018000,17.270000,10.000000
50,25.412000,17.270000,10.000000
51,24.723000,17.270000,10.000000
52,25.412000,17.270000,10.000000
53,24.479000,17.270000,10.000000
54,24.295000,17.270000,10.000000
55,21.663000,17.270000,10.000000
56,19.921000,17.270000,10.000000
57,20.562000,17.270000,10.000000
58,21.296000,17.270000,10.000000
59,23.248000,17.270000,10.000000
60,20.941000,17.270000,10.000000
61,21.262000,17.270000,10.000000
62,17.374000,17.270000,10.000000
63,21.262000,17.270000,10.000000
64,23.128000,17.270000,10.000000
65,20.941000,17.270000,10.000000
66,25.566000,17.270000,10.000000
67,25.073000,17.270000,10.000000
68,25.458000,17.270000,10.000000
69,17.270000,17.270000,10.000000
70,17.270000,17.270000,10.000000
71,17.270000,17.270000,10.000000
72,17.270000,17.270000,10.000000
73,17.270000,17.270000,10.000000
74,22.770000,17.270000,10.000000
75,22.347000,17.270000,10.000000
76,23.768000,17.270000,10.000000
77,19.618000,17.270000,10.000000
78,20.573000,17.270000,10.000000
79,22.944000,17.270000,10.000000
80,24.868000,17.270000,10.000000
81,25.701000,17.270000,10.000000
82,22.376000,17.270000,10.000000
83,23.074000,17.270000,10.000000
84,25.757000,17.270000,10.000000
85,19.056000,17.270000,10.000000
86,23.180000,17.270000,10.000000
87,21.230000,17.270000,10.000000
88,22.387000,17.270000,10.000000
89,23.342000,17.270000,10.000000
90,26.017000,17.270000,10.000000
91,26.286000,17.270000,10.000000
92,24.420000,17.270000,10.000000
93,19.607000,17.270000,10.000000
94,17.270000,17.270000,10.000000
95,17.270000,17.270000,10.000000
96,17.270000,17.270000,10.000000
97,22.770000,17.270000,10.000000
98,22.770000,17.270000,10.000000
99,24.976000,17.270000,10.000000
100,26.017000,17.270000,10.000000
101,26.286000,17.270000,9.500000
102,25.020000,17.270000,9.500000
103,21.183000,17.270000,9.500000
104,20.941000,17.270000,9.500000
105,21.761000,17.270000,9.500000
106,21.183000,17.270000,9.500000
107,22.944000,17.270000,9.500000
108,24.295000,17.270000,9.500000
109,24.723000,17.270000,9.500000
110,24.295000,17.270000,9.500000
111,26.682000,17.270000,9.500000
112,26.494000,17.270000,9.500000
113,23.304000,17.270000,9.500000
114,21.663000,17.270000,9.500000
115,23.385000,17.270000,9.500000
116,23.640000,17.270000,9.500000
117,23.385000,17.270000,9.500000
118,17.379000,17.270000,9.500000
119,19.921000,17.270000,9.500000
120,20.562000,17.270000,9.500000
121,19.995000,17.270000,9.500000
122,19.995000,17.270000,9.500000
123,21.734000,17.270000,9.500000
124,20.573000,17.270000,9.500000
125,20.331000,17.270000,9.500000
126,17.374000,17.270000,9.500000
127,17.374000,17.270000,9.500000
128,17.379000,17.270000,9.500000
129,20.941000,17.270000,9.500000
130,18.923000,17.270000,9.500000
131,20.941000,17.270000,9.500000
132,21.183000,17.270000,9.500000
133,21.837000,17.270000,9.500000
134,26.682000,17.270000,9.500000
135,26.481000,17.270000,9.500000
136,21.636000,17.270000,9.500000
137,22.919000,17.270000,9.500000
138,21.636000,17.270000,9.500000
139,20.573000,17.270000,9.500000
140,14.536000,14.536000,9.500000
141,18.923000,14.536000,9.500000
142,20.941000,14.536000,9.500000
143,17.379000,14.536000,9.500000
144,17.379000,14.536000,9.500000
145,24.148000,14.536000,9.500000
146,21.761000,14.536000,9.500000
147,21.161000,14.536000,9.500000
148,21.761000,14.536000,9.500000
149,21.161000,14.536000,9.500000
150,25.073000,14.536000,9.500000
151,23.952000,14.536000,9.500000
152,23.952000,14.536000,9.500000
153,23.367000,14.536000,9.500000
154,21.465000,14.536000,9.500000
155,24.533000,14.536000,9.500000
156,24.956000,14.536000,9.500000
157,24.533000,14.536000,9.500000
158,23.554000,14.536000,9.500000
159,24.976000,14.536000,9.500000
160,26.017000,14.536000,9.500000
161,23.952000,14.536000,9.500000
162,22.650000,14.536000,9.500000
163,21.761000,14.536000,9.500000
164,21.296000,14.536000,9.500000
165,20.273000,14.536000,9.500000
166,19.607000,14.536000,9.500000
167,22.344000,14.536000,9.500000
168,22.599000,14.536000,9.500000
169,19.916000,14.536000,9.500000
170,20.871000,14.536000,9.500000
171,21.598000,14.536000,9.500000
172,24.976000,14.536000,9.500000
173,20.562000,14.536000,9.500000
174,24.976000,14.536000,9.500000
175,26.017000,14.536000,9.500000
176,23.342000,14.536000,9.500000
177,22.185000,14.536000,9.500000
178,21.018000,14.536000,9.500000
179,23.683000,14.536000,9.500000
180,23.683000,14.536000,9.500000
181,23.683000,14.536000,9.500000
182,20.273000,14.536000,9.500000
183,20.273000,14.536000,9.500000
184,20.871000,14.536000,9.500000
185,16.684000,14.536000,9.500000
186,21.161000,14.536000,9.500000
187,18.923000,14.536000,9.500000
188,18.923000,14.536000,9.500000
189,20.312000,14.536000,9.500000
190,19.618000,14.536000,9.500000
191,21.262000,14.536000,9.500000
192,22.173000,14.536000,9.500000
193,20.312000,14.536000,9.500000
194,24.420000,14.536000,9.500000
195,24.420000,14.536000,9.500000
196,25.073000,14.536000,9.500000
197,25.458000,14.536000,9.500000
198,24.956000,14.536000,9.500000
199,23.683000,14.536000,9.500000
200,21.296000,14.536000,9.500000
201,23.683000,14.536000,9.025000
202,24.148000,14.536000,9.025000
203,25.757000,14.536000,9.025000
204,22.347000,14.536000,9.025000
205,22.599000,14.536000,9.025000
206,19.916000,14.536000,9.025000
207,24.956000,14.536000,9.025000
208,22.376000,14.536000,9.025000
209,22.376000,14.536000,9.025000
210,27.175000,14.536000,9.025000
211,22.376000,14.536000,9.025000
212,24.335000,14.536000,9.025000
213,23.294000,14.536000,9.025000
214,20.562000,14.536000,9.025000
215,21.296000,14.536000,9.025000
216,22.185000,14.536000,9.025000
217,21.018000,14.536000,9.025000
218,21.018000,14.536000,9.025000
219,20.562000,14.536000,9.025000
220,24.420000,14.536000,9.025000
221,24.678000,14.536000,9.025000
222,25.331000,14.536000,9.025000
223,27.018000,14.536000,9.025000
224,24.335000,14.536000,9.025000
225,22.613000,14.536000,9.025000
226,22.613000,14.536000,9.025000
227,25.412000,14.536000,9.025000
228,21.262000,14.536000,9.025000
229,23.294000,14.536000,9.025000
230,22.599000,14.536000,9.025000
231,22.344000,14.536000,9.025000
232,21.161000,14.536000,9.025000
233,21.161000,14.536000,9.025000
234,18.923000,14.536000,9.025000
235,19.308000,14.536000,9.025000
236,20.331000,14.536000,9.025000
237,20.941000,14.536000,9.025000
238,18.923000,14.536000,9.025000
239,20.312000,14.536000,9.025000
240,22.344000,14.536000,9.025000
241,21.161000,14.536000,9.025000
242,21.465000,14.536000,9.025000
243,21.663000,14.536000,9.025000
244,20.312000,14.536000,9.025000
245,21.663000,14.536000,9.025000
246,25.073000,14.536000,9.025000
247,25.458000,14.536000,9.025000
248,23.681000,14.536000,9.025000
249,22.347000,14.536000,9.025000
250,21.527000,14.536000,9.025000
251,22.347000,14.536000,9.025000
252,23.768000,14.536000,9.025000
253,21.663000,14.536000,9.025000
254,22.650000,14.536000,9.025000
255,22.613000,14.536000,9.025000
256,22.613000,14.536000,9.025000
257,23.304000,14.536000,9.025000
258,24.295000,14.536000,9.025000
259,21.598000,14.536000,9.025000
260,24.976000,14.536000,9.025000
261,20.562000,14.536000,9.025000
262,20.562000,14.536000,9.025000
263,23.294000,14.536000,9.025000
264,23.681000,14.536000,9.025000
265,21.527000,14.536000,9.025000
266,21.527000,14.536000,9.025000
267,21.837000,14.536000,9.025000
268,20.312000,14.536000,9.025000
269,20.312000,14.536000,9.025000
270,21.183000,14.536000,9.025000
271,21.183000,14.536000,9.025000
272,14.536000,14.536000,9.025000
273,18.923000,14.536000,9.025000
274,14.536000,14.536000,9.025000
275,14.536000,14.536000,9.025000
276,16.684000,14.536000,9.025000
277,19.921000,14.536000,9.025000
278,21.663000,14.536000,9.025000
279,23.768000,14.536000,9.025000
280,19.618000,14.536000,9.025000
281,19.618000,14.536000,9.025000
282,19.618000,14.536000,9.025000
283,21.734000,14.536000,9.025000
284,24.533000,14.536000,9.025000
285,21.465000,14.536000,9.025000
286,24.148000,14.536000,9.025000
287,24.533000,14.536000,9.025000
288,23.953000,14.536000,9.025000
289,21.837000,14.536000,9.025000
290,21.636000,14.536000,9.025000
291,21.636000,14.536000,9.025000
292,23.128000,14.536000,9.025000
293,23.128000,14.536000,9.025000
294,24.479000,14.536000,9.025000
295,20.871000,14.536000,9.025000
296,20.273000,14.536000,9.025000
297,20.871000,14.536000,9.025000
298,20.871000,14.536000,9.025000
299,20.871000,14.536000,9.025000
300,18.329000,14.536000,9.025000
301,20.871000,14.536000,8.573750
302,16.684000,14.536000,8.573750
303,21.161000,14.536000,8.573750
304,21.161000,14.536000,8.573750
305,21.761000,14.536000,8.573750
306,19.921000,14.536000,8.573750
307,21.598000,14.536000,8.573750
308,21.598000,14.536000,8.573750
309,23.953000,14.536000,8.573750
310,23.640000,14.536000,8.573750
311,22.919000,14.536000,8.573750
312,22.387000,14.536000,8.573750
313,24.463000,14.536000,8.573750
314,22.770000,14.536000,8.573750
315,21.161000,14.536000,8.573750
316,21.761000,14.536000,8.573750
317,21.183000,14.536000,8.573750
318,20.312000,14.536000,8.573750
319,17.379000,14.536000,8.573750
320,17.379000,14.536000,8.573750
321,17.379000,14.536000,8.573750
322,19.921000,14.536000,8.573750
323,23.367000,14.536000,8.573750
324,21.183000,14.536000,8.573750
325,23.367000,14.536000,8.573750
326,21.465000,14.536000,8.573750
327,14.536000,14.536000,8.573750
328,14.536000,14.536000,8.573750
329,14.536000,14.536000,8.573750
330,16.684000,14.536000,8.573750
331,20.871000,14.536000,8.573750
332,21.598000,14.536000,8.573750
333,19.056000,14.536000,8.573750
334,18.329000,14.536000,8.573750
335,23.128000,14.536000,8.573750
336,23.128000,14.536000,8.573750
337,24.479000,14.536000,8.573750
338,24.295000,14.536000,8.573750
339,24.479000,14.536000,8.573750
340,20.767000,14.536000,8.573750
341,23.385000,14.536000,8.573750
342,25.331000,14.536000,8.573750
343,21.527000,14.536000,8.573750
344,21.837000,14.536000,8.573750
345,21.262000,14.536000,8.573750
346,23.683000,14.536000,8.573750
347,24.956000,14.536000,8.573750
348,20.767000,14.536000,8.573750
349,21.663000,14.536000,8.573750
350,19.921000,14.536000,8.573750
351,19.916000,14.536000,8.573750
352,23.524000,14.536000,8.573750
353,24.335000,14.536000,8.573750
354,18.329000,14.536000,8.573750
355,21.262000,14.536000,8.573750
356,22.173000,14.536000,8.573750
357,17.374000,14.536000,8.573750
358,17.374000,14.536000,8.573750
359,15.122000,14.536000,8.573750
360,17.270000,14.536000,8.573750
361,17.270000,14.536000,8.573750
362,23.681000,14.536000,8.573750
363,23.294000,14.536000,8.573750
364,19.916000,14.536000,8.573750
365,19.921000,14.536000,8.573750
366,22.987000,14.536000,8.573750
367,25.186000,14.536000,8.573750
368,23.913000,14.536000,8.573750
369,24.868000,14.536000,8.573750
370,24.420000,14.536000,8.573750
371,24.335000,14.536000,8.573750
372,23.128000,14.536000,8.573750
373,23.554000,14.536000,8.573750
374,24.595000,14.536000,8.573750
375,22.987000,14.536000,8.573750
376,23.304000,14.536000,8.573750
377,21.663000,14.536000,8.573750
378,19.921000,14.536000,8.573750
379,19.916000,14.536000,8.573750
380,22.599000,14.536000,8.573750
381,22.139000,14.536000,8.573750
382,23.997000,14.536000,8.573750
383,24.868000,14.536000,8.573750
384,23.180000,14.536000,8.573750
385,23.952000,14.536000,8.573750
386,22.650000,14.536000,8.573750
387,24.335000,14.536000,8.573750
388,22.376000,14.536000,8.573750
389,21.018000,14.536000,8.573750
390,22.376000,14.536000,8.573750
391,24.295000,14.536000,8.573750
392,26.682000,14.536000,8.573750
393,24.420000,14.536000,8.573750
